nama,usia,posisi,tim,tinggi,berat,gol,assist
Harry Kane,28,FW,Tottenham,188,86,22,12
Mohamed Salah,29,FW,Liverpool,175,71,17,10
Bruno Fernandes,27,MF,Manchester United,179,80,12,15
Kevin De Bruyne,30,MF,Manchester City,181,70,7,11
Raheem Sterling,27,FW,Manchester City,170,69,10,8
Sadio Mane,29,FW,Liverpool,175,69,9,6
Son Heung-min,29,FW,Tottenham,183,77,13,7
Jack Grealish,26,MF,Aston Villa,178,68,6,10
Wilfried Zaha,29,FW,Crystal Palace,180,66,8,3
Jamie Vardy,35,FW,Leicester City,178,74,11,6
Riyad Mahrez,30,MF,Manchester City,179,67,4,6
Ruben Dias,24,DF,Manchester City,187,84,1,1
Ben White,24,DF,Arsenal,185,70,0,2
Luke Shaw,26,DF,Manchester United,183,75,1,4
Aaron Wan-Bissaka,23,DF,Manchester United,183,72,0,4
Trent Alexander-Arnold,23,DF,Liverpool,175,69,1,6
John Stones,27,DF,Manchester City,188,70,4,1
Declan Rice,22,MF,West Ham United,185,76,3,3
Marcus Rashford,24,FW,Manchester United,180,70,6,5
Bukayo Saka,20,MF,Arsenal,178,68,1,5
